Date,Close,signals,close_position
4/8/2015,1.082415,,
4/9/2015,1.078528,,
4/10/2015,1.066906,,
4/13/2015,1.060985,,
4/14/2015,1.057295,,
4/15/2015,1.064713,,
4/16/2015,1.06768,,
4/17/2015,1.075558,,
4/20/2015,1.081023,,
4/21/2015,1.074749,,
4/22/2015,1.074172,,
4/23/2015,1.072582,,
4/24/2015,1.081502,,
4/27/2015,1.086897,,
4/28/2015,1.087796,,
4/29/2015,1.096912,,
4/30/2015,1.111432,,
5/1/2015,1.121466,,
5/4/2015,1.118593,,
5/5/2015,1.114914,,
5/6/2015,1.118631,,
5/7/2015,1.134147,,
5/8/2015,1.124695,,
5/11/2015,1.119407,,
5/12/2015,1.114442,,
5/13/2015,1.122146,,
5/14/2015,1.135048,,
5/15/2015,1.140498,,
5/18/2015,1.144505,,
5/19/2015,1.132618,,
5/20/2015,1.114666,,
5/21/2015,1.110075,,
5/22/2015,1.111185,,
5/25/2015,1.0993,,
5/26/2015,1.097117,,
5/27/2015,1.088886,,
5/28/2015,1.090001,,
5/29/2015,1.096035,,
6/1/2015,1.095794,,
6/2/2015,1.092299,,
6/3/2015,1.115001,,
6/4/2015,1.125784,,
6/5/2015,1.120787,,
6/8/2015,1.110815,,
6/9/2015,1.128095,,
6/10/2015,1.129905,,
6/11/2015,1.131196,,
6/12/2015,1.124063,,
6/15/2015,1.121994,,
6/16/2015,1.127701,,
6/17/2015,1.124202,,
6/18/2015,1.136997,,
6/19/2015,1.137074,,
6/22/2015,1.137294,,
6/23/2015,1.134906,,
6/24/2015,1.117219,,
6/25/2015,1.120699,,
6/26/2015,1.120298,,
6/29/2015,1.097502,,
6/30/2015,1.122297,,
7/1/2015,1.113499,,
7/2/2015,1.103363,,
7/3/2015,1.108697,,
7/6/2015,1.099505,,
7/7/2015,1.104899,,
7/8/2015,1.100994,,
7/9/2015,1.107101,,
7/10/2015,1.106305,,
7/13/2015,1.112904,,
7/14/2015,1.099046,,
7/15/2015,1.1008,,
7/16/2015,1.094355,,
7/17/2015,1.088601,,
7/20/2015,1.083025,,
7/21/2015,1.083541,,
7/22/2015,1.093996,,
7/23/2015,1.092705,,
7/24/2015,1.098901,,
7/27/2015,1.097237,,
7/28/2015,1.109004,,
7/29/2015,1.106599,,
7/30/2015,1.098406,,
7/31/2015,1.093924,,
8/3/2015,1.0969,,
8/4/2015,1.095602,,
8/5/2015,1.088898,,
8/6/2015,1.09031,,
8/7/2015,1.092705,,
8/10/2015,1.096503,,
8/11/2015,1.101698,,
8/12/2015,1.104204,,
8/13/2015,1.116096,,
8/14/2015,1.116096,,
8/17/2015,1.109299,,
8/18/2015,1.1078,,
8/19/2015,1.103083,,
8/20/2015,1.111803,,
8/21/2015,1.123697,,
8/24/2015,1.137695,,
8/25/2015,1.158306,,
8/26/2015,1.155095,,
8/27/2015,1.134005,,
8/28/2015,1.124796,,
8/31/2015,1.121403,,
9/1/2015,1.122586,,
9/2/2015,1.129344,,
9/3/2015,1.121604,,
9/4/2015,1.112595,,
9/7/2015,1.1152,,
9/8/2015,1.116395,,
9/9/2015,1.120737,,
9/10/2015,1.12207,,
9/11/2015,1.129089,,
9/14/2015,1.134404,,
9/15/2015,1.130761,,
9/16/2015,1.12718,,
9/17/2015,1.129203,,
9/18/2015,1.140095,,
9/21/2015,1.129203,,
9/22/2015,1.119094,,
9/23/2015,1.112075,,
9/24/2015,1.118994,,
9/25/2015,1.117893,,
9/28/2015,1.120172,,
