Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,1.491430,1.496960,1.483000,1.491000,1.491000,0
2015-03-24,1.496700,1.500700,1.488000,1.497140,1.497140,0
2015-03-25,1.491540,1.504200,1.491540,1.491150,1.491150,0
2015-03-26,1.502470,1.506330,1.491000,1.501900,1.501900,0
2015-03-27,1.490770,1.491530,1.481000,1.490880,1.490880,0
2015-03-30,1.490600,1.494860,1.485000,1.490990,1.490990,0
2015-03-31,1.489960,1.491300,1.471000,1.490080,1.490080,0
2015-04-01,1.474600,1.475640,1.464000,1.474200,1.474200,0
2015-04-02,1.467600,1.478620,1.465600,1.467500,1.467500,0
2015-04-03,1.474880,1.484440,1.472700,1.474900,1.474900,0
2015-04-06,1.482500,1.489970,1.481000,1.483300,1.483300,0
2015-04-07,1.483000,1.484310,1.471000,1.483080,1.483080,0
2015-04-08,1.471400,1.474750,1.462000,1.471680,1.471680,0
2015-04-09,1.462400,1.463470,1.448000,1.462400,1.462400,0
2015-04-10,1.449400,1.452130,1.441000,1.449400,1.449400,0
2015-04-13,1.450600,1.454500,1.443000,1.450900,1.450900,0
2015-04-14,1.450200,1.453840,1.434000,1.450400,1.450400,0
2015-04-15,1.447900,1.451000,1.438000,1.448030,1.448030,0
2015-04-16,1.447980,1.455910,1.438000,1.448100,1.448100,0
2015-04-17,1.453300,1.455760,1.445000,1.453400,1.453400,0
2015-04-20,1.451200,1.453600,1.444000,1.451150,1.451150,0
2015-04-21,1.448920,1.453500,1.440000,1.448700,1.448700,0
2015-04-22,1.451100,1.452400,1.440000,1.451890,1.451890,0
2015-04-23,1.444800,1.453970,1.437000,1.445080,1.445080,0
2015-04-24,1.451280,1.456020,1.441000,1.452280,1.452280,0
2015-04-27,1.448530,1.449280,1.442000,1.447850,1.447850,0
2015-04-28,1.443500,1.447510,1.441000,1.443700,1.443700,0
2015-04-29,1.446100,1.471300,1.446100,1.445600,1.445600,0
2015-04-30,1.468200,1.487400,1.466000,1.468290,1.468290,0
2015-05-01,1.484100,1.496300,1.482900,1.484470,1.484470,0
2015-05-04,1.488200,1.492550,1.479000,1.487900,1.487900,0
2015-05-05,1.484700,1.492650,1.479000,1.484700,1.484700,0
2015-05-06,1.489600,1.503190,1.487600,1.489600,1.489600,0
2015-05-07,1.500500,1.514450,1.496000,1.500480,1.500480,0
2015-05-08,1.498000,1.501350,1.487000,1.498220,1.498220,0
2015-05-11,1.489140,1.494160,1.485000,1.489250,1.489250,0
2015-05-12,1.489800,1.505280,1.489600,1.489830,1.489830,0
2015-05-13,1.496200,1.506360,1.490000,1.496900,1.496900,0
2015-05-14,1.504460,1.507840,1.497000,1.504300,1.504300,0
2015-05-15,1.504600,1.511200,1.501000,1.504530,1.504530,0
2015-05-18,1.510830,1.512770,1.501000,1.510400,1.510400,0
2015-05-19,1.503300,1.503410,1.484000,1.503200,1.503200,0
2015-05-20,1.487640,1.489420,1.480000,1.487650,1.487650,0
2015-05-21,1.483500,1.492430,1.482000,1.483100,1.483100,0
2015-05-22,1.483280,1.489200,1.470000,1.483430,1.483430,0
2015-05-25,1.469400,1.475600,1.468700,1.469300,1.469300,0
2015-05-26,1.471100,1.473330,1.466000,1.472050,1.472050,0
2015-05-27,1.468100,1.473640,1.464000,1.468000,1.468000,0
2015-05-28,1.472300,1.477100,1.469000,1.472200,1.472200,0
